101S/10KB      |CROSS   ONLY            |  204.25|  125.99|   2.53|   6.75|10K|  |  1.290|  116.71|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N70|8|  0.000|  204.25|20260305|00000000
101S/GF        |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N90|8|  0.000|   27.25|20260305|00000000
101S/GFB       |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N90|8|  0.000|   24.50|20260305|00000000
101S/STER      |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N80|8|  0.000|   27.25|20260305|00000000
101S/STERB     |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |    1 |      |      |    1-|      |      |      |    2 |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,       |                        |N80|8|  0.000|   24.50|20260305|00000000
102/10K        |CROSS    BOXED          |  238.50|  147.18|   1.33|  10.13|10K|  |  1.500|  135.72|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |    1 |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N70|8|  0.000|  238.50|20260305|00000000
102/10KB       |CROSS   ONLY            |  236.00|  145.65|   0.00|   9.93|10K|  |  1.500|  135.72|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N70|8|  0.000|  236.00|20260305|00000000
102/14K        |CROSS   BOXED           |  372.25|  229.77|   1.33|  13.11|14K|  |  1.700|  215.33|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N75|8|  0.000|  372.25|20260305|00000000
102/14KB       |CROSS   ONLY            |  369.75|  228.24|   0.00|  12.91|14K|  |  1.700|  215.33|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N75|8|  0.000|  369.75|20260305|00000000
102/GF         |CROSS   BOXED           |   29.75|   18.21|   2.30|   5.76|GF |  |  0.000|    0.00|  2.430|  10.15|   0.00|   0.00|   0.00|      |      |      |      |    1 |    2 |      |      |    1 |      |      |      |50|  0.00|                              |                        |N90|8|  0.000|   29.75|20260305|00000000
102/GFB        |CROSS   ONLY            |   27.25|   16.71|   0.97|   5.59|GF |  |  0.000|    0.00|  2.430|  10.15|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N90|8|  0.000|   27.25|20260305|00000000
