Invoice,Customer,Item,Period,TransDate,Name,Amount,Quantity,Cost,Salesman,OrderBy,Terms
591351,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,429000001,550000,000000000,00,05,9
591352,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,519000002,834000,000000000,00,00,0
591352,CJG130,CJ1042/STER,20140331,4Z201403,4THE CANADIAN JLRY. GR,519000005,800000,004000003,56,40,0
591352,CJG130,REPAIRS,20140331,4Z201403,4THE CANADIAN JLRY. GR,519000014,950000,013000000,00,00,0
591352,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,519000001,050000,000000000,00,00,0
591353,GOR220,,20140331,4X201403,4*GORDON'S GOLD,220000002,542000,000000000,00,04,1
591353,GOR220,S300RL/18K,20140331,4Z201403,4*GORDON'S GOLD,220000018,500000,001000010,76,84,1
591353,GOR220,,20140331,4X201403,4*GORDON'S GOLD,220000001,050000,000000000,00,04,1
591354,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,250000001,535000,000000000,00,03,5
591354,CJG130,F2547/14K,20140331,4Z201403,4THE CANADIAN JLRY. GR,250000028,100000,001000017,02,63,5
591354,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,250000002,600000,000000000,00,03,5
591355,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,466000004,397000,000000000,00,02,4
591355,CJG130,CLAS.LG/STER,20140331,4Z201403,4THE CANADIAN JLRY. GR,466000012,600000,001000006,54,02,4
591355,CJG130,CLAS.MD.M/STER,20140331,4Z201403,4THE CANADIAN JLRY. GR,466000011,400000,001000005,78,92,4
591355,CJG130,SR55B/STER,20140331,4Z201403,4THE CANADIAN JLRY. GR,466000008,275000,001000004,47,72,4
591355,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,466000001,550000,000000000,00,02,4
591356,WAL520,,20140331,4X201403,4*WALKERS JEWELLERS LT,520000002,554000,000000000,00,03,9
591356,WAL520,5T18M/18K,20140331,4Z201403,4*WALKERS JEWELLERS LT,520000049,525000,001000031,73,63,9
591356,WAL520,,20140331,4X201403,4*WALKERS JEWELLERS LT,520000001,550000,000000000,00,03,9
591357,RIC483,,20140331,4X201403,4*RICHARDSON'S  ***,483000001,893000,000000000,00,05,9
591357,RIC483,F2556-GEN/10K,20140331,4Z201403,4*RICHARDSON'S  ***,483000024,900000,001000013,30,35,9
591357,RIC483,CLAS.MD.M/STER,20140331,4Z201403,4*RICHARDSON'S  ***,483000011,400000,001000005,78,95,9
591357,RIC483,,20140331,4X201403,4*RICHARDSON'S  ***,483000001,550000,000000000,00,05,9
591358,CHM130,,20140331,5X201403,5CHARM JEWELLERY LTD.,229000001,325000,000000000,00,00,0
591358,CHM130,SR63DB/STER,20140331,5Z201403,5CHARM JEWELLERY LTD.,229000008,644000,001000004,69,50,0
591358,CHM130,,20140331,5X201403,5CHARM JEWELLERY LTD.,229000001,550000,000000000,00,00,0
591359,GCL720,,20140331,5X201403,5GEMALTA CO-OPERATIVE,100000002,833000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,100000002,83s000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,100000000,000000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,105000002,833000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,105000000,000000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,100000058,00p000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,100000000,000000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,105000058,000000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,105000000,000000,000000000,00,03,5
591359,GCL720,CLAS.LG/STER,20140331,5Z201403,5GEMALTA CO-OPERATIVE,100000011,600000,001000006,54,03,5
591359,GCL720,CLAS.LG/STER,20140331,5Z201403,5GEMALTA CO-OPERATIVE,100000011,600000,001000006,54,03,5
591359,GCL720,CLAS.LG/STER,20140331,5Z201403,5GEMALTA CO-OPERATIVE,100000011,600000,001000006,54,03,5
591359,GCL720,CLAS.LG/STER,20140331,5Z201403,5GEMALTA CO-OPERATIVE,100000011,600000,001000006,54,03,5
591359,GCL720,CLAS.LG/STER,20140331,5Z201403,5GEMALTA CO-OPERATIVE,100000011,600000,001000006,54,03,5
591359,GCL720,,20140331,5X201403,5GEMALTA CO-OPERATIVE,100000001,550000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,100000001,55p000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,100000000,000000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,105000001,550000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,105000000,000000,000000000,00,03,5
591359,GCL720,,20140331,5X201403,5GEMALTA CO-OPERATIVE,100000002,90p000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,100000002,900000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,100000000,000000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,105000002,90p000,000000000,00,03,5
591359,GCL720,,20140331,4X201403,5GEMALTA CO-OPERATIVE,105000000,000000,000000000,00,03,5
591360,BRU085,,20140331,5X201403,5*BRUNEL GOLDSMITH,085000004,921000,000000000,00,07,2
591360,BRU085,6T18L/10KY,20140331,5Z201403,5*BRUNEL GOLDSMITH,085000023,050000,001000014,38,17,2
